[    1077ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fscript.google.com%2Fmacros%2Fs%2FAKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO%2Fexec&dsh=S-938348622%3A1784085579581886&followup=https%3A%2F%2Fscript.google.com%2Fmacros%2Fs%2FAKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO%2Fexec&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin&ifkv=Ac50bxuTu8QX4M23FPf3y6AuEStUzvjbL8A3QC3gkD1-czLJzH2rYzQ1wDfD1xH95urmGrbB0s0WRg:0
[    1080ms] [LOG] %c%s color: red; background: yellow; font-size: 24px; WARNING! @ https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.AccountsSignInUi.en_US.usGoN50qi0A.es5.O/am=EQUAAADIQFGIAGD8_98AAAQQZDvgPQugCRAyAAAAAAAAAADAEgAANQI/d=1/excm=_b,_tp,identifierview/ed=1/dg=0/wt=2/ujg=1/rs=AOaEmlG9JBvqE_Mto2SwMHcxdbpYEJNvQg/dti=1/m=_b,_tp:552
[    1080ms] [LOG] %c%s font-size: 18px; Using this console may allow attackers to impersonate you and steal your information using an attack called Self-XSS.
Do not enter or paste code that you do not understand. @ https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.AccountsSignInUi.en_US.usGoN50qi0A.es5.O/am=EQUAAADIQFGIAGD8_98AAAQQZDvgPQugCRAyAAAAAAAAAADAEgAANQI/d=1/excm=_b,_tp,identifierview/ed=1/dg=0/wt=2/ujg=1/rs=AOaEmlG9JBvqE_Mto2SwMHcxdbpYEJNvQg/dti=1/m=_b,_tp:552
[   19960ms] [LOG] %c%s color: red; background: yellow; font-size: 24px; WARNING! @ https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.AccountsSignInUi.en_US.usGoN50qi0A.es5.O/am=EQUAAADIQFGIAGD8_98AAAQQZDvgPQugCRAyAAAAAAAAAADAEgAANQI/d=1/excm=_b,_tp,signincontinueview/ed=1/dg=0/wt=2/ujg=1/rs=AOaEmlG9JBvqE_Mto2SwMHcxdbpYEJNvQg/dti=1/m=_b,_tp:552
[   19960ms] [LOG] %c%s font-size: 18px; Using this console may allow attackers to impersonate you and steal your information using an attack called Self-XSS.
Do not enter or paste code that you do not understand. @ https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.AccountsSignInUi.en_US.usGoN50qi0A.es5.O/am=EQUAAADIQFGIAGD8_98AAAQQZDvgPQugCRAyAAAAAAAAAADAEgAANQI/d=1/excm=_b,_tp,signincontinueview/ed=1/dg=0/wt=2/ujg=1/rs=AOaEmlG9JBvqE_Mto2SwMHcxdbpYEJNvQg/dti=1/m=_b,_tp:552
[   32082ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   32082ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   32580ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   32581ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   33082ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   33082ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   33581ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   33581ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   37581ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
[   37581ms] [ERROR] Cross-Origin-Opener-Policy policy would block the window.closed call. @ https://script.google.com/a/macros/unisza.edu.my/s/AKfycbwh3Hqpuz43FRyHc9ZlgwGqa7LEcZn-v7NytmS5ltvO/exec:0
